ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
BP	GO:0061045	negative regulation of wound healing	75	-0.471299379733802	-1.67657013627551	0.000348136528797564	0.0103862872152336	0.00931293949826693	1763	tags=31%, list=5%, signal=29%	4846/3848/23122/928/325/947/3156/2811/90102/7057/3818/55966/634/84830/18/5624/2160/5340/1361/7448/350/3827/3273
BP	GO:0030004	cellular monovalent inorganic cation homeostasis	108	-0.471443098205984	-1.4864215476544	5.08045837025956e-06	0.000391195294509986	0.000350768088180227	5140	tags=37%, list=14%, signal=32%	1203/55647/9114/83959/51606/183/478/1657/535/1182/528/527/526/5594/506/57835/596/51382/23327/552/3778/120892/479/8671/523/83697/760/6550/50617/7274/245973/1811/525/496/6549/1080/127124/245972/6521/389015
BP	GO:0009060	aerobic respiration	83	-0.471556578198099	-1.7006137450127	5.79717804146746e-05	0.00286776426648649	0.00257140155626631	8528	tags=54%, list=23%, signal=42%	7384/4697/158/5018/6834/7415/5162/7388/54205/56181/1352/5160/4190/1431/9650/23410/6389/3418/8801/2271/6390/246269/664/107075310/1355/7385/8802/1738/3658/1737/48/6392/4967/5161/6391/55526/81889/1743/8803/59341/3419/23530/50/847/55753
BP	GO:0001676	long-chain fatty acid metabolic process	108	-0.472059606210748	-1.48836534699321	5.08045837025956e-06	0.000391195294509986	0.000350768088180227	3630	tags=30%, list=10%, signal=27%	10998/1571/3295/51/1558/1565/8605/2166/5354/10965/2938/3991/26027/1374/641371/122970/33/2053/2180/1573/23305/3248/84830/1543/1555/11001/134526/1579/1576/1549/1544/1548
CC	GO:0016323	basolateral plasma membrane	217	-0.475160378039879	-1.74646811569153	1e-10	3.85e-08	3.45213032581454e-08	2903	tags=30%, list=8%, signal=28%	286/254428/368/3570/2064/338328/7430/1364/55333/3747/7369/9132/8650/1015/64284/23428/9990/10861/56606/283375/3655/5745/7010/1740/55966/479/200931/153562/8671/353189/10257/634/540/123264/30061/1014/358/143162/1131/3248/760/200958/288/8825/9053/846/146894/10991/10864/359/525/362/9356/114571/7809/57127/6554/6521/51458/115111/389015/9376/10599/1496/9073
BP	GO:0007040	lysosome organization	61	-0.475965967989219	-1.63797178008986	0.000705445275783337	0.0170254479245023	0.0152659909326625	9300	tags=61%, list=26%, signal=45%	3257/950/84317/55004/3074/84067/7942/147007/54982/64400/5538/29911/7879/8720/2896/8678/157807/55737/80317/57617/1203/4669/55647/2629/80208/51552/1200/219931/256471/51510/411/2055/4647/9066/51361/120892/134829
BP	GO:0080171	lytic vacuole organization	61	-0.475965967989219	-1.63797178008986	0.000705445275783337	0.0170254479245023	0.0152659909326625	9300	tags=61%, list=26%, signal=45%	3257/950/84317/55004/3074/84067/7942/147007/54982/64400/5538/29911/7879/8720/2896/8678/157807/55737/80317/57617/1203/4669/55647/2629/80208/51552/1200/219931/256471/51510/411/2055/4647/9066/51361/120892/134829
BP	GO:0009108	coenzyme biosynthetic process	146	-0.479042043085391	-1.55577244902876	1.51463354290258e-08	2.7831391350835e-06	2.49552182056701e-06	8544	tags=54%, list=23%, signal=42%	4338/10327/27304/9054/79066/27010/10229/55229/2639/11019/5162/109703458/2954/5538/2181/5092/51144/23475/5160/57017/84274/349565/29914/201562/79646/133686/160760/8050/56997/84105/54981/32/3418/27249/51004/125061/55066/27430/23498/1719/54704/23205/84532/57107/84869/5166/25874/64802/200895/57546/51660/1738/1737/6785/55163/5860/6622/7923/4522/47/5161/4144/573971/23417/10588/83594/9104/79993/5164/130013/2180/10243/23305/23057/38/53354/160728/9390/27231
BP	GO:0006639	acylglycerol metabolic process	126	-0.479185248496243	-1.7331333734354	9.72829352968662e-08	1.31088755312527e-05	1.17541679892898e-05	2837	tags=26%, list=8%, signal=24%	6653/392636/2166/8228/3991/128486/9104/11057/6583/1374/5106/2710/57406/3990/2180/255738/847/116255/1373/9162/2168/2167/84803/7069/13/159296/5105/2538/336/350/335/345/116519
BP	GO:0006513	protein monoubiquitination	66	-0.479538923168692	-1.65133725645876	0.00112980847398021	0.0243586706990132	0.0218413781341801	11161	tags=65%, list=31%, signal=45%	84678/6045/55284/151636/54623/23429/23295/90025/165918/84541/6015/329/57599/57697/5071/54926/4591/6737/867/6500/7251/123169/79577/7706/84861/1642/7323/10075/84333/10277/5193/59349/7314/8452/51322/9810/9646/10210/56254/54880/23327/5896/9148
BP	GO:0006638	neutral lipid metabolic process	127	-0.4797247125628	-1.73994163711716	1.46615677307463e-07	1.85216836098568e-05	1.66076014739555e-05	3077	tags=28%, list=8%, signal=25%	139189/6622/6653/392636/2166/8228/3991/128486/9104/11057/6583/1374/5106/2710/57406/3990/2180/255738/847/116255/1373/9162/2168/2167/84803/7069/13/159296/5105/2538/336/350/335/345/116519
BP	GO:0071466	cellular response to xenobiotic stimulus	180	-0.480088301347902	-1.87197198447134	3.10598467116071e-10	8.65459644284975e-08	7.7602064514411e-08	3526	tags=32%, list=10%, signal=29%	1571/1036/8824/2939/1429/54578/1645/1558/1565/2327/8574/2938/27284/54996/5446/5138/10249/2940/2678/6097/1958/5106/779/670/1393/2053/57412/2180/10891/134147/1573/358/54658/22977/348158/55151/1551/54600/54657/1800/2326/79041/2690/196541/1543/1555/13/54490/1066/5105/1576/383/1392/1549/1544/7366/570/1548
MF	GO:0005319	lipid transporter activity	130	-0.480704664181913	-1.70189390241507	7.17999771954517e-08	1.03661217075933e-05	9.29485795009541e-06	2731	tags=32%, list=7%, signal=29%	9619/114882/2170/124976/26207/1071/10998/63982/23762/5007/388323/345274/5825/114876/54762/6578/200931/388121/634/5950/123264/10351/55937/7274/2168/2167/121601/11001/6555/10877/160728/114571/1109/8647/64241/6554/10599/336/319/335/116519
MF	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	119	-0.481443202068203	-1.55839046120429	3.71129229654677e-07	4.34866640834502e-05	3.89926316496073e-05	4218	tags=37%, list=12%, signal=33%	650/84869/284273/11112/3156/3295/3030/2819/22949/1645/3284/7923/3033/3032/51109/125/145482/9380/128/10170/8574/3419/10901/51084/10257/6652/22977/6718/3248/8608/1962/145226/55586/197257/3291/27294/130/8630/1109/284541/10202/126/124/127
BP	GO:0050994	regulation of lipid catabolic process	54	-0.487177821786819	-1.59684635264808	0.00200029175952138	0.0361797737712089	0.0324408556407012	2837	tags=24%, list=8%, signal=22%	6653/7067/23417/5465/5140/5581/1374/27329/2168/13/336/345/116519
MF	GO:0015370	solute:sodium symporter activity	73	-0.488347806743114	-1.69886354850205	6.54567487307199e-05	0.00313146635199923	0.00280785193714399	2763	tags=42%, list=8%, signal=39%	6531/6506/345274/6539/9154/57835/142680/8671/6505/115584/83697/10050/10246/6540/6532/159963/10786/125206/6524/6530/6557/6555/6561/160728/348932/6523/6554/6569/340024/55117/9058
BP	GO:0017001	antibiotic catabolic process	57	-0.489098460976234	-1.66958528176491	0.000864275993559166	0.0200795155400168	0.0180044427333393	2441	tags=32%, list=7%, signal=30%	3050/128/27284/5973/27233/3043/5106/219/23530/54658/847/4353/5105/3042/3048/3047/6822/127
CC	GO:0010494	cytoplasmic stress granule	66	-0.489645689952785	-1.68614085576334	0.000809301869062514	0.0191321801502059	0.0171550076092137	8564	tags=48%, list=23%, signal=37%	113251/1656/55308/170506/22794/149041/7415/9698/26065/1977/79752/1653/5936/1153/3190/6093/23367/4076/1965/55147/8444/9908/2886/1654/26058/29118/22927/132430/340529/5563/1511/645974
BP	GO:0042398	cellular modified amino acid biosynthetic process	50	-0.490784962550208	-1.58294929882118	0.000986957074513595	0.0220429501310564	0.0197649705500876	3694	tags=40%, list=10%, signal=36%	200895/501/55217/4522/55748/1160/573971/223/2729/10588/124975/6470/1159/55349/2678/548596/2679/34/2628/8424
BP	GO:0006081	cellular aldehyde metabolic process	61	-0.491076354443015	-1.68997210839512	0.000332353297207675	0.0101954232890973	0.00914179997943076	6155	tags=49%, list=17%, signal=41%	216/2806/26007/654/5978/53630/3418/1584/8659/650/501/112817/1645/55163/57026/51109/223/58510/9380/128/8574/3795/224/22977/64577/653/64902/229/189/127
MF	GO:0019829	ATPase-coupled cation transmembrane transporter activity	53	-0.491435465825435	-1.56330297765089	0.00135014827916714	0.0273645602992465	0.0245366307692492	5184	tags=43%, list=14%, signal=37%	529/538/9114/51606/486/478/535/528/527/526/506/51382/10396/491/479/540/523/50617/245973/496/127124/245972/8647
CC	GO:0031093	platelet alpha granule lumen	67	-0.491737088313623	-1.70961801640574	0.000347150180506919	0.0103862872152336	0.00931293949826693	745	tags=13%, list=2%, signal=13%	2153/1950/5340/5004/3827/197/5005/213/3273
BP	GO:0097006	regulation of plasma lipoprotein particle levels	95	-0.494409951653	-1.78950882436606	3.29534316412181e-06	0.000266428494819248	0.000238895035487441	2932	tags=24%, list=8%, signal=22%	407019/406977/338328/10162/3162/693120/406961/948/81693/3990/255738/55937/185/407039/8029/4353/4018/406916/336/335/345/213/116519
BP	GO:0033013	tetrapyrrole metabolic process	58	-0.494547212416227	-1.68032500208762	0.000685425374886198	0.0167929216847118	0.0150574945991746	4024	tags=36%, list=11%, signal=32%	55788/1355/171425/211/166785/3658/2235/210/6948/200205/3162/8803/81693/54658/54657/212/8029/1543/3263/259/1544
CC	GO:0032592	integral component of mitochondrial membrane	70	-0.494619772588981	-1.73731617048791	0.000116287549940673	0.00479686143505278	0.00430114047498076	7103	tags=44%, list=19%, signal=36%	91689/10440/1353/285521/5250/80775/54332/63933/6341/10989/9804/51566/94081/664/25874/387990/23456/84709/55735/51660/79594/10367/139322/55333/65018/10939/347411/291/2110/1374/79944
MF	GO:0042625	ATPase-coupled ion transmembrane transporter activity	57	-0.495604931065369	-1.69179575177004	0.000618937209193745	0.0154925923725431	0.0138915449233089	5184	tags=42%, list=14%, signal=36%	538/9114/51606/486/478/535/528/527/51449/526/506/51382/10396/491/479/10257/540/523/50617/245973/496/127124/245972/8647
CC	GO:0012507	ER to Golgi transport vesicle membrane	60	-0.495699376721005	-1.67202129100973	0.000293152301235839	0.0095570014334345	0.00856935440836681	9925	tags=73%, list=27%, signal=53%	2890/3134/2348/10484/9570/22937/9554/3123/3115/6720/10972/6811/3998/3119/3117/51014/3106/11196/3122/3118/51128/3113/3133/22872/143187/9919/90411/567/10175/3107/3135/3136/59349/3120/10483/966/8615/3127/6721/10427/10490/9632/111240474/55014
MF	GO:0046906	tetrapyrrole binding	140	-0.496074618080515	-1.55411993499742	2.2533775106141e-08	3.71807289251327e-06	3.33383693138546e-06	2962	tags=26%, list=8%, signal=24%	1558/6392/1565/6391/3050/6948/1528/79152/3162/285440/1593/51302/1595/3043/79400/1573/58157/847/1551/4843/8029/4353/1543/1555/284541/3042/1579/1576/3048/1581/1549/259/1544/3047/1586/1548/3273
BP	GO:0045851	pH reduction	53	-0.496600464898256	-1.57973333115934	0.0010222314555844	0.0227678824198343	0.020414986326257	8610	tags=66%, list=24%, signal=51%	9550/79641/23312/147007/54982/537/23682/5538/7879/534/2896/282679/51463/529/1203/55647/9114/51606/1657/535/1182/528/527/526/596/51382/552/523/760/50617/7274/245973/525/127124/245972
BP	GO:0030641	regulation of cellular pH	90	-0.497264021225506	-1.88402006249088	9.84599363887016e-06	0.000692216161480568	0.000620680624172987	5140	tags=38%, list=14%, signal=33%	1203/55647/9114/83959/51606/1657/535/1182/528/527/526/5594/506/57835/596/51382/552/120892/8671/523/83697/760/6550/50617/7274/245973/1811/525/6549/1080/127124/245972/6521/389015
BP	GO:0030258	lipid modification	238	-0.497410785869877	-2.02238841236557	1e-10	3.85e-08	3.45213032581454e-08	5888	tags=43%, list=16%, signal=37%	163404/30/22876/285172/6484/200576/66036/79837/55862/7941/80724/3632/8835/5291/5290/32/56898/2629/22908/5289/55198/9306/9619/183/6342/23600/5166/2170/5191/5287/35/8526/8867/5286/5297/10380/8708/8013/1571/3295/57704/3030/8503/51/139189/55825/10455/1558/407019/8611/145567/30837/4534/3033/5468/3032/3712/5825/23417/2108/5465/22979/124872/8395/79152/8309/285440/1384/549/2110/1374/26275/8613/33/1154/2053/5264/1376/224/34/10891/185/1551/3613/10449/1962/28/84129/38/54886/9162/1543/2168/5288/11001/27124/54363/51179/284541/1576/336/335/116519
BP	GO:0006733	oxidoreduction coenzyme metabolic process	51	-0.497420335869899	-1.5774511275136	0.000872200174228731	0.0202055541794822	0.0181174561903582	6632	tags=43%, list=18%, signal=35%	23475/57017/84274/349565/29914/133686/160760/56997/54981/3418/51004/125061/23498/57107/64802/3156/83594/130013/23057/160728/9390/27231
BP	GO:0016125	sterol metabolic process	166	-0.497776304626918	-1.64548973174888	1.88928299208725e-10	6.20211872774669e-08	5.56117458294977e-08	5166	tags=36%, list=14%, signal=31%	3953/8578/32/2230/2629/407032/1584/3638/2224/9619/3949/6721/3988/2222/56603/1071/3156/11160/57704/51474/2055/9420/6653/47/3422/3157/114876/158219/3991/406959/2246/285440/5563/1593/6309/406961/51302/1595/10826/27329/33/2053/3990/255738/6718/847/10449/407053/8029/1080/1066/8431/1056/3158/1581/5444/336/319/335/116519
MF	GO:0050661	NADP binding	52	-0.500139673515493	-1.62021634600157	0.00111798609735165	0.0242330230484936	0.0217287152602253	5687	tags=44%, list=16%, signal=37%	1717/7881/2329/1719/4846/84869/11112/84656/4524/200895/3156/1429/5860/2327/573971/9380/1428/79400/2330/23530/847/4843/2326
BP	GO:0006805	xenobiotic metabolic process	125	-0.500417329837989	-1.82133152083328	2.72008559660426e-08	4.39837840970909e-06	3.94383779027654e-06	3526	tags=36%, list=10%, signal=33%	1571/1036/8824/2939/1429/54578/1645/1558/1565/2327/8574/2938/27284/54996/5446/10249/2940/2678/6097/670/2053/57412/2180/134147/1573/54658/22977/348158/1551/54600/54657/1800/2326/2690/1543/1555/13/54490/1066/1576/1549/1544/7366/570/1548
CC	GO:0098573	intrinsic component of mitochondrial membrane	71	-0.501077831982446	-1.75734340452322	0.000115586795701101	0.0047924063756072	0.00429714581373001	7103	tags=45%, list=19%, signal=36%	91689/10440/1353/285521/5250/80775/54332/63933/6341/10989/9804/51566/94081/664/25874/387990/23456/84709/9927/55735/51660/79594/10367/139322/55333/65018/10939/347411/291/2110/1374/79944
MF	GO:0001221	transcription cofactor binding	43	-0.501539957390512	-1.56131097782158	0.00171532753057389	0.0322521467085812	0.0289191204481331	7657	tags=47%, list=21%, signal=37%	1385/8864/988/4780/2308/9686/2296/10458/5187/7019/4772/7003/6095/10783/8013/8863/5465/9314/6097/139135
BP	GO:0034308	primary alcohol metabolic process	85	-0.501908134713576	-1.86765455786026	4.84773212071716e-06	0.000380523438796099	0.0003411990916237	3018	tags=35%, list=8%, signal=32%	1645/55825/222236/1565/51109/125/8228/54884/128/10170/8574/27284/27233/5950/219/224/653/8608/145226/130/1543/54363/1109/7276/1576/126/1544/6822/124/127
BP	GO:0045540	regulation of cholesterol biosynthetic process	50	-0.502531208728918	-1.62083495867464	0.000578565512778946	0.0148971406713942	0.0133576288518559	5804	tags=48%, list=16%, signal=40%	8720/7108/5562/57678/407031/1717/4047/32/407032/2224/9619/6721/2222/3156/11160/3422/3157/406959/2246/6309/406961/1595/407053/1581
BP	GO:0106118	regulation of sterol biosynthetic process	50	-0.502531208728918	-1.62083495867464	0.000578565512778946	0.0148971406713942	0.0133576288518559	5804	tags=48%, list=16%, signal=40%	8720/7108/5562/57678/407031/1717/4047/32/407032/2224/9619/6721/2222/3156/11160/3422/3157/406959/2246/6309/406961/1595/407053/1581
BP	GO:1900046	regulation of hemostasis	79	-0.503188890555019	-1.76403108921603	1.08850867006655e-05	0.000737923411470392	0.000661664360224795	1574	tags=24%, list=4%, signal=23%	2039/7099/7057/22875/3818/948/634/84830/18/2155/5624/2160/5340/1361/7448/350/3827/462/3273
MF	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	128	-0.503545469876396	-1.76577852219138	4.91015110075774e-08	7.63434070185122e-06	6.84538676739242e-06	4218	tags=38%, list=12%, signal=34%	650/84869/284273/11112/3156/3295/3030/2819/22949/1645/3284/7923/3033/3032/51109/125/145482/9380/128/10170/8574/55349/3419/10901/51084/10257/6652/224/79944/22977/6718/3248/8608/1962/145226/55586/197257/3291/27294/130/8630/54363/1109/51179/284541/10202/126/124/127
MF	GO:0005496	steroid binding	95	-0.503760032282204	-1.82335128999313	1.76816749137278e-06	0.000160625103008415	0.000144025659527905	4300	tags=37%, list=12%, signal=33%	9619/6095/114882/6342/344838/478/1071/10857/11160/23762/5007/5241/114876/7421/54762/367/6097/2103/4306/2852/54852/54658/9365/6718/866/3291/2104/793/2638/1576/336/319/335/345/116519
BP	GO:0033865	nucleoside bisphosphate metabolic process	139	-0.507213283975739	-1.58813878807646	5.2867226868311e-09	1.04251592495194e-06	9.3477943887563e-07	4652	tags=38%, list=13%, signal=33%	55066/10157/54704/23205/3155/64087/84532/84869/5166/25874/10380/3156/55711/3295/57546/641372/51660/54988/8802/1738/6296/1737/283927/6785/6622/4967/7923/47/5161/3157/23417/1743/10965/27284/26027/8803/10861/10249/123876/79993/27233/641371/122970/5164/2180/23305/348158/38/53354/134526/3158/570/6822
BP	GO:0033875	ribonucleoside bisphosphate metabolic process	139	-0.507213283975739	-1.58813878807646	5.2867226868311e-09	1.04251592495194e-06	9.3477943887563e-07	4652	tags=38%, list=13%, signal=33%	55066/10157/54704/23205/3155/64087/84532/84869/5166/25874/10380/3156/55711/3295/57546/641372/51660/54988/8802/1738/6296/1737/283927/6785/6622/4967/7923/47/5161/3157/23417/1743/10965/27284/26027/8803/10861/10249/123876/79993/27233/641371/122970/5164/2180/23305/348158/38/53354/134526/3158/570/6822
BP	GO:0034032	purine nucleoside bisphosphate metabolic process	139	-0.507213283975739	-1.58813878807646	5.2867226868311e-09	1.04251592495194e-06	9.3477943887563e-07	4652	tags=38%, list=13%, signal=33%	55066/10157/54704/23205/3155/64087/84532/84869/5166/25874/10380/3156/55711/3295/57546/641372/51660/54988/8802/1738/6296/1737/283927/6785/6622/4967/7923/47/5161/3157/23417/1743/10965/27284/26027/8803/10861/10249/123876/79993/27233/641371/122970/5164/2180/23305/348158/38/53354/134526/3158/570/6822
MF	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	43	-0.508528729351173	-1.58306726308436	0.00140702602506946	0.0281804447833783	0.0252681994887383	3754	tags=49%, list=10%, signal=44%	594/501/55711/1738/1737/4967/5161/55526/223/593/128/316/7915/219/224/64577/55753/10840/4329/1109/127
BP	GO:0043648	dicarboxylic acid metabolic process	97	-0.509036851074189	-1.89751289304389	1.55051739828528e-06	0.00014245378596746	0.000127732216770224	5250	tags=46%, list=14%, signal=40%	6389/3418/8801/27165/8659/23498/1719/2271/6390/2746/4524/200895/112817/8802/1738/113235/80017/4967/4522/47/573971/1743/8528/2729/58510/10588/9380/6470/8803/2747/2678/443/7915/122970/2805/5264/130013/10841/79944/5625/144193/10840/3034/5105/6898
BP	GO:0006892	post-Golgi vesicle-mediated transport	104	-0.509825185292033	-1.77300960358554	5.83047673330992e-07	6.28525391850809e-05	5.63571835260427e-05	8997	tags=61%, list=25%, signal=46%	55763/23041/582/2060/377/9135/8729/10890/8548/55062/51542/583/2181/80262/23033/64145/55770/6293/54520/55204/9522/4644/9341/8943/403/23499/54832/143187/30845/51125/163882/23256/6844/9919/27252/3916/10066/10133/54536/23233/373/9581/2803/51552/10564/10640/51479/164/57020/63971/23062/149371/55614/10490/6653/261729/23230/55435/29091/6711/81693/312/288
MF	GO:0020037	heme binding	132	-0.509937949316259	-1.83379280573604	2.68340218249573e-09	6.19865904156513e-07	5.55807243033025e-07	2962	tags=28%, list=8%, signal=26%	3046/9420/1558/6392/1565/6391/3050/1528/79152/3162/285440/1593/51302/1595/3043/79400/1573/58157/847/1551/4843/4353/1543/1555/284541/3042/1579/1576/3048/1581/1549/259/1544/3047/1586/1548/3273
BP	GO:0006893	Golgi to plasma membrane transport	63	-0.510059859769188	-1.7543909584271	0.000131256868040913	0.00522764422714672	0.00468740497898766	9441	tags=62%, list=26%, signal=46%	6845/64083/55763/582/377/9135/10890/8548/583/2181/80262/55770/54520/55204/9341/403/23499/51125/163882/6844/9919/10133/54536/23233/373/9581/2803/10564/10640/57020/63971/23062/149371/261729/29091/6711/81693/312/288
BP	GO:0050818	regulation of coagulation	81	-0.5104115598373	-1.80300332811246	6.99221742187752e-06	0.000509297998701619	0.000456665731479094	1574	tags=23%, list=4%, signal=22%	2039/7099/7057/22875/3818/948/634/84830/18/2155/5624/2160/5340/1361/7448/350/3827/462/3273
BP	GO:1903036	positive regulation of response to wounding	70	-0.511987317703842	-1.79831841633788	4.93076860648605e-05	0.00253533189226127	0.0022733236652675	2955	tags=24%, list=8%, signal=22%	2039/7099/406977/7057/22875/7048/406978/825/5581/948/8613/2155/5340/1361/7448/350/3273
BP	GO:0042737	drug catabolic process	139	-0.512583249569712	-1.60495272201679	2.96212237647537e-09	6.65243317050095e-07	5.96495228268594e-07	2988	tags=30%, list=8%, signal=28%	4129/1558/5860/6622/1565/6531/57026/3081/1743/1807/3050/10588/27284/5973/27233/3043/5106/80150/27159/219/23530/1610/1573/847/38/4353/1369/1555/5019/54363/5105/3042/1576/55821/3048/5053/1549/1544/3047/6898/6822/1548
BP	GO:0051187	cofactor catabolic process	64	-0.513965083343005	-1.77938744479604	0.000126532931413816	0.00506444925980545	0.00454107503203204	3258	tags=39%, list=9%, signal=36%	3046/728441/283927/6622/728226/57026/3050/10588/83594/3162/91227/2678/3043/2679/23530/54658/847/54657/10840/38/4353/3042/3048/259/3047
BP	GO:0006885	regulation of pH	98	-0.51455399721578	-1.93316829288598	1.00815172384464e-06	9.82036950275174e-05	8.8055052912087e-05	4130	tags=41%, list=11%, signal=36%	1203/55647/9114/83959/51606/5166/1657/535/1182/528/527/526/5594/506/1910/57835/596/51382/552/120892/479/8671/5164/523/5172/83697/760/6550/50617/7274/245973/1811/525/6549/1080/127124/245972/6521/51458/389015
BP	GO:0009066	aspartate family amino acid metabolic process	49	-0.515598862621357	-1.68629551878857	0.00107526971552756	0.0236881625341698	0.0212401621420861	7818	tags=61%, list=21%, signal=48%	2639/84245/51166/58478/4507/54529/2806/60496/51074/26227/55258/10157/10993/4524/501/10247/1738/23743/4967/4522/1743/8528/443/4482/1428/80150/2805/635/89874/27232
BP	GO:0042572	retinol metabolic process	41	-0.516198448088655	-1.63601902773186	0.00177618232484172	0.0330885578256805	0.0296690945214284	2836	tags=41%, list=8%, signal=38%	1565/51109/125/8228/54884/10170/5950/8608/145226/130/1543/7276/1576/126/1544/124/127
BP	GO:0006641	triglyceride metabolic process	102	-0.516271561066102	-1.81184302846416	7.47599035808423e-07	7.60406974554039e-05	6.81824409563346e-05	2105	tags=25%, list=6%, signal=24%	3991/128486/9104/6583/1374/5106/2710/3990/2180/255738/847/116255/1373/2168/2167/84803/7069/13/159296/5105/2538/336/350/335/345/116519
BP	GO:0044275	cellular carbohydrate catabolic process	45	-0.51677139855149	-1.65759854953605	0.00137532539943957	0.0277987646361723	0.0249259632261587	6215	tags=38%, list=17%, signal=31%	2820/26007/801/55347/5257/55556/178/5223/8987/414328/2710/6652/8972/11181/55586/57733/2538
BP	GO:0030193	regulation of blood coagulation	78	-0.517377285606776	-1.83272533873832	7.18770714527782e-06	0.000518862609549742	0.000465241908924138	1574	tags=24%, list=4%, signal=23%	2039/7099/7057/22875/3818/948/634/84830/18/2155/5624/2160/5340/1361/7448/350/3827/462/3273
BP	GO:1900047	negative regulation of hemostasis	54	-0.517538658517201	-1.6963615383321	0.000527640300191712	0.0141257345266556	0.0126659419568502	1553	tags=20%, list=4%, signal=20%	634/84830/18/5624/2160/5340/1361/7448/350/3827/3273
BP	GO:0051453	regulation of intracellular pH	84	-0.517758562077081	-1.91425742619578	2.32171011067292e-06	0.000199691768561602	0.000179055067549881	5561	tags=42%, list=15%, signal=35%	51463/529/1203/55647/9114/83959/51606/1657/535/1182/528/527/526/506/57835/596/51382/552/120892/8671/523/83697/760/6550/50617/7274/245973/1811/525/6549/1080/127124/245972/6521/389015
CC	GO:0016469	proton-transporting two-sector ATPase complex	48	-0.518399941370366	-1.66023756211554	0.00114084575941469	0.0244661484479251	0.0219377488345357	5696	tags=38%, list=16%, signal=32%	518/529/9114/51606/515/535/528/527/526/506/498/51382/523/50617/245973/525/127124/245972
BP	GO:0015918	sterol transport	107	-0.52054410685907	-1.81144504134582	9.03521000516092e-08	1.23813004901231e-05	1.11017825701237e-05	4658	tags=36%, list=13%, signal=32%	407015/23411/9525/9619/114882/3949/6342/6721/1071/51474/23762/4040/4790/1645/5007/407019/5468/100126318/9066/114876/158219/54762/693120/948/3990/255738/55937/407039/1950/1080/1066/406916/1056/64241/5444/336/335/345/116519
BP	GO:0016999	antibiotic metabolic process	120	-0.52064350350586	-1.68719649578052	2.02610303399487e-08	3.48532830422309e-06	3.12514481413721e-06	3079	tags=35%, list=8%, signal=32%	3658/48/1645/4129/6622/47/125/3050/10588/128/8574/65018/27284/10020/5973/27233/3043/7915/5106/219/23530/10841/50/54658/847/1800/144193/3034/130/4353/1543/1109/5105/3042/6569/3048/126/1544/3047/6822/124/127
BP	GO:0006635	fatty acid beta-oxidation	72	-0.522286437516598	-1.8299713034129	1.03479885669612e-05	0.000721236961757595	0.000646702334488762	4165	tags=62%, list=11%, signal=55%	10478/207/2639/254013/1666/1891/2475/1892/54677/83752/30/55862/80724/32/56898/6342/23600/5191/35/3295/3030/51/10455/3033/3032/3712/5825/23417/2108/5465/8309/1384/549/2110/1374/26275/33/1376/34/10449/1962/84129/38/2168/11001
BP	GO:0019076	viral release from host cell	35	-0.523540874025872	-1.65857998487369	0.00236382938503758	0.0409984989475899	0.0367616003973637	9362	tags=60%, list=26%, signal=45%	91392/9218/25978/23087/9798/6737/5481/7879/7251/92421/51652/22954/7706/9126/10206/1642/7726/9525/5091/11043/89870
BP	GO:0035890	exit from host	35	-0.523540874025872	-1.65857998487369	0.00236382938503758	0.0409984989475899	0.0367616003973637	9362	tags=60%, list=26%, signal=45%	91392/9218/25978/23087/9798/6737/5481/7879/7251/92421/51652/22954/7706/9126/10206/1642/7726/9525/5091/11043/89870
BP	GO:0035891	exit from host cell	35	-0.523540874025872	-1.65857998487369	0.00236382938503758	0.0409984989475899	0.0367616003973637	9362	tags=60%, list=26%, signal=45%	91392/9218/25978/23087/9798/6737/5481/7879/7251/92421/51652/22954/7706/9126/10206/1642/7726/9525/5091/11043/89870
BP	GO:0046503	glycerolipid catabolic process	64	-0.524269726115342	-1.81506292658741	6.93888903360279e-05	0.00330005399039286	0.00295901726157414	2837	tags=27%, list=8%, signal=25%	6653/8605/2166/8228/3991/11057/57406/3990/1373/2168/2167/13/255189/336/335/345/116519
MF	GO:1901682	sulfur compound transmembrane transporter activity	35	-0.525287123679494	-1.66411211210155	0.00227546455380172	0.0399070084978024	0.0357829075968317	2411	tags=31%, list=7%, signal=29%	253512/80736/10861/5172/6505/11136/6519/115019/1811/6561/115111
BP	GO:0030301	cholesterol transport	94	-0.525545765295856	-1.88493215460831	7.45904488633818e-07	7.60406974554039e-05	6.81824409563346e-05	4658	tags=36%, list=13%, signal=32%	407015/23411/9525/9619/3949/6342/6721/1071/51474/4040/4790/1645/5007/407019/100126318/9066/158219/693120/948/3990/255738/55937/407039/1950/1080/1066/406916/1056/64241/5444/336/335/345/116519
MF	GO:0032934	sterol binding	56	-0.525574006235614	-1.79313976522406	0.000119446710963028	0.00485289777957829	0.00435138586830136	4300	tags=29%, list=12%, signal=25%	9619/6095/114882/6342/1071/11160/23762/5007/114876/54762/6097/336/319/335/345/116519
